,date,close,open,high,low,ohcl_avg,name
175,2022-06-17,3674.84,3665.9,3707.71,3636.87,3671.33,spx
176,2022-06-16,3666.77,3728.18,3728.18,3639.77,3690.725,spx
177,2022-06-15,3789.99,3764.05,3837.56,3722.3,3778.475,spx
178,2022-06-14,3735.48,3763.52,3778.18,3705.68,3745.715,spx
179,2022-06-13,3749.63,3838.15,3838.15,3734.3,3790.0575,spx
180,2022-06-10,3900.86,3974.39,3974.39,3900.16,3937.45,spx
181,2022-06-09,4017.82,4101.65,4119.1,4017.17,4063.935,spx
182,2022-06-08,4115.77,4147.12,4160.14,4107.2,4132.5575,spx
183,2022-06-07,4160.68,4096.47,4164.86,4080.19,4125.55,spx
184,2022-06-06,4121.43,4134.72,4168.78,4109.18,4133.5275,spx
185,2022-06-03,4108.54,4137.57,4142.67,4098.67,4121.862499999999,spx
186,2022-06-02,4176.82,4095.41,4177.51,4074.37,4131.0275,spx
187,2022-06-01,4101.23,4149.78,4166.54,4073.85,4122.849999999999,spx
188,2022-05-31,4132.15,4151.09,4168.34,4104.88,4139.115,spx
189,2022-05-27,4158.24,4077.43,4158.49,4077.43,4117.8975,spx
190,2022-05-26,4057.84,3984.6,4075.14,3984.6,4025.545,spx
191,2022-05-25,3978.73,3929.59,3999.33,3925.03,3958.17,spx
192,2022-05-24,3941.48,3942.94,3955.68,3875.13,3928.8075,spx
193,2022-05-23,3973.75,3927.02,3981.88,3909.04,3947.9225,spx
194,2022-05-20,3901.36,3927.76,3943.42,3810.32,3895.715,spx
195,2022-05-19,3900.79,3899.0,3945.96,3876.58,3905.5825,spx
196,2022-05-18,3923.68,4051.98,4051.98,3911.91,3984.8875,spx
197,2022-05-17,4088.85,4052.0,4090.72,4033.93,4066.375,spx
198,2022-05-16,4008.01,4013.02,4046.46,3983.99,4012.87,spx
199,2022-05-13,4023.89,3963.9,4038.88,3963.9,3997.6425,spx
200,2022-05-12,3930.08,3903.95,3964.8,3858.87,3914.425,spx
201,2022-05-11,3935.18,3990.08,4049.09,3928.82,3975.7925,spx
202,2022-05-10,4001.05,4035.18,4068.82,3958.17,4015.805,spx
203,2022-05-09,3991.24,4081.27,4081.27,3975.48,4032.315,spx
204,2022-05-06,4123.34,4128.17,4157.69,4067.91,4119.2775,spx
205,2022-05-05,4146.87,4270.43,4270.43,4106.01,4198.435,spx
206,2022-05-04,4300.17,4181.18,4307.66,4148.91,4234.48,spx
207,2022-05-03,4175.48,4159.78,4200.1,4147.08,4170.610000000001,spx
208,2022-05-02,4155.38,4130.61,4169.81,4062.51,4129.577499999999,spx
209,2022-04-29,4131.93,4253.75,4269.68,4124.28,4194.91,spx
210,2022-04-28,4287.5,4222.58,4308.45,4188.63,4251.79,spx
211,2022-04-27,4183.96,4186.52,4240.71,4162.9,4193.522499999999,spx
212,2022-04-26,4175.2,4278.14,4278.14,4175.04,4226.63,spx
213,2022-04-25,4296.12,4255.34,4299.02,4200.82,4262.825,spx
214,2022-04-22,4271.78,4385.83,4385.83,4267.62,4327.764999999999,spx
215,2022-04-21,4393.66,4489.17,4512.94,4384.47,4445.06,spx
216,2022-04-20,4459.45,4472.26,4488.29,4448.76,4467.1900000000005,spx
217,2022-04-19,4462.21,4390.63,4471.03,4390.63,4428.625,spx
218,2022-04-18,4391.69,4385.63,4410.31,4370.3,4389.4825,spx
219,2022-04-14,4392.59,4449.12,4460.46,4390.77,4423.235000000001,spx
220,2022-04-13,4446.59,4394.3,4453.92,4392.7,4421.8775000000005,spx
221,2022-04-12,4397.45,4437.59,4471.0,4381.34,4421.845,spx
222,2022-04-11,4412.53,4462.64,4464.35,4408.38,4436.975,spx
223,2022-04-08,4488.28,4494.15,4520.41,4474.6,4494.360000000001,spx
224,2022-04-07,4500.21,4474.65,4521.16,4450.3,4486.58,spx
225,2022-04-06,4481.15,4494.17,4503.94,4450.04,4482.325,spx
226,2022-04-05,4525.12,4572.45,4593.45,4514.17,4551.297500000001,spx
227,2022-04-04,4582.64,4547.97,4583.5,4539.21,4563.33,spx
228,2022-04-01,4545.86,4540.32,4548.7,4507.57,4535.6125,spx
229,2022-03-31,4530.41,4599.02,4603.07,4530.41,4565.7275,spx
230,2022-03-30,4602.45,4624.2,4627.77,4581.32,4608.935,spx
231,2022-03-29,4631.6,4602.86,4637.3,4589.66,4615.355,spx
232,2022-03-28,4575.52,4541.09,4575.65,4517.69,4552.4875,spx
233,2022-03-25,4543.06,4522.91,4546.03,4501.07,4528.2675,spx
234,2022-03-24,4520.16,4469.98,4520.58,4465.17,4493.9725,spx
235,2022-03-23,4456.24,4493.1,4501.07,4455.81,4476.555,spx
236,2022-03-22,4511.61,4469.1,4522.0,4469.1,4492.952499999999,spx
237,2022-03-21,4461.18,4462.4,4481.75,4424.3,4457.4075,spx
238,2022-03-18,4463.12,4407.34,4465.4,4390.57,4431.6075,spx
239,2022-03-17,4411.67,4345.11,4412.67,4335.65,4376.275,spx
240,2022-03-16,4357.86,4288.14,4358.9,4251.99,4314.2225,spx
241,2022-03-15,4262.45,4188.82,4271.05,4187.9,4227.555,spx
242,2022-03-14,4173.11,4202.75,4247.57,4161.72,4196.2875,spx
243,2022-03-11,4204.31,4279.5,4291.01,4200.49,4243.827499999999,spx
244,2022-03-10,4259.52,4252.55,4268.28,4209.8,4247.5375,spx
245,2022-03-09,4277.88,4223.1,4299.4,4223.1,4255.870000000001,spx
246,2022-03-08,4170.7,4202.66,4276.94,4157.87,4202.0425,spx
247,2022-03-07,4201.09,4327.01,4327.01,4199.85,4263.74,spx
248,2022-03-04,4328.87,4342.12,4342.12,4284.98,4324.5225,spx
249,2022-03-03,4363.49,4401.31,4416.78,4345.56,4381.785,spx
250,2022-03-02,4386.54,4322.56,4401.48,4322.56,4358.285000000001,spx
251,2022-03-01,4306.26,4363.14,4378.45,4279.54,4331.8475,spx
252,2022-02-28,4373.94,4354.17,4388.84,4315.12,4358.0175,spx
253,2022-02-25,4384.65,4298.38,4385.34,4286.83,4338.8,spx
254,2022-02-24,4288.7,4155.77,4294.73,4114.65,4213.4625,spx
255,2022-02-23,4225.5,4324.93,4341.51,4221.51,4278.3625,spx
256,2022-02-22,4304.76,4332.74,4362.12,4267.11,4316.6825,spx
257,2022-02-18,4348.87,4384.57,4394.6,4327.22,4363.8150000000005,spx
258,2022-02-17,4380.26,4456.06,4456.06,4373.81,4416.547500000001,spx
259,2022-02-16,4475.01,4455.75,4489.55,4429.68,4462.4975,spx
260,2022-02-15,4471.07,4429.28,4472.77,4429.28,4450.599999999999,spx
261,2022-02-14,4401.67,4412.61,4426.22,4364.84,4401.335,spx
262,2022-02-11,4418.64,4506.27,4526.33,4401.41,4463.1625,spx
263,2022-02-10,4504.08,4553.24,4588.92,4484.31,4532.6375,spx
264,2022-02-09,4587.18,4547.0,4590.03,4547.0,4567.8025,spx
265,2022-02-08,4521.54,4480.02,4531.32,4465.4,4499.57,spx
266,2022-02-07,4483.87,4505.75,4521.86,4471.47,4495.7375,spx
267,2022-02-04,4500.53,4482.79,4539.66,4451.5,4493.62,spx
268,2022-02-03,4477.44,4535.41,4542.88,4470.39,4506.53,spx
269,2022-02-02,4589.38,4566.39,4595.31,4544.32,4573.85,spx
270,2022-02-01,4546.54,4519.57,4550.49,4483.53,4525.032499999999,spx
271,2022-01-31,4515.55,4431.79,4516.89,4414.02,4469.5625,spx
272,2022-01-28,4431.85,4336.19,4432.72,4292.46,4373.305,spx
273,2022-01-27,4326.51,4380.58,4428.74,4309.5,4361.3325,spx
274,2022-01-26,4349.93,4408.43,4453.23,4304.8,4379.0975,spx
275,2022-01-25,4356.45,4366.64,4411.01,4287.11,4355.302500000001,spx
276,2022-01-24,4410.13,4356.32,4417.35,4222.62,4351.605,spx
277,2022-01-21,4397.94,4471.38,4494.52,4395.34,4439.795,spx
278,2022-01-20,4482.73,4547.35,4602.11,4477.95,4527.535,spx
279,2022-01-19,4532.76,4588.03,4611.55,4530.2,4565.635,spx
280,2022-01-18,4577.11,4632.24,4632.24,4568.7,4602.5725,spx
281,2022-01-14,4662.85,4637.99,4665.13,4614.75,4645.18,spx
282,2022-01-13,4659.03,4733.56,4744.13,4650.29,4696.7525000000005,spx
283,2022-01-12,4726.35,4728.59,4748.83,4706.71,4727.62,spx
284,2022-01-11,4713.07,4669.14,4714.13,4638.27,4683.6525,spx
285,2022-01-10,4670.29,4655.34,4673.02,4582.24,4645.2225,spx
286,2022-01-07,4677.03,4697.66,4707.95,4662.74,4686.344999999999,spx
287,2022-01-06,4696.05,4693.39,4725.01,4671.26,4696.4275,spx
288,2022-01-05,4700.58,4787.99,4797.7,4699.44,4746.4275,spx
289,2022-01-04,4793.54,4804.51,4818.62,4774.27,4797.735000000001,spx
290,2022-01-03,4796.56,4778.14,4796.64,4758.17,4782.3775000000005,spx
291,2021-12-31,4766.18,4775.21,4786.83,4765.75,4773.4925,spx
292,2021-12-30,4778.73,4794.23,4808.93,4775.33,4789.305,spx
293,2021-12-29,4793.06,4788.64,4804.06,4778.08,4790.960000000001,spx
294,2021-12-28,4786.35,4795.49,4807.02,4780.04,4792.225,spx
295,2021-12-27,4791.19,4733.99,4791.49,4733.99,4762.664999999999,spx
296,2021-12-23,4725.79,4703.96,4740.74,4703.96,4718.6125,spx
297,2021-12-22,4696.56,4650.36,4697.67,4645.53,4672.53,spx
298,2021-12-21,4649.23,4594.96,4651.14,4583.16,4619.6225,spx
299,2021-12-20,4568.02,4587.9,4587.9,4531.1,4568.73,spx
300,2021-12-17,4620.64,4652.5,4666.7,4600.22,4635.015,spx
301,2021-12-16,4668.67,4719.13,4731.99,4651.89,4692.92,spx
302,2021-12-15,4709.85,4636.46,4712.6,4611.22,4667.5325,spx
303,2021-12-14,4634.09,4642.99,4660.47,4606.52,4636.0175,spx
304,2021-12-13,4668.97,4710.3,4710.3,4667.6,4689.2925,spx
305,2021-12-10,4712.02,4687.64,4713.57,4670.24,4695.8675,spx
306,2021-12-09,4667.45,4691.0,4695.26,4665.98,4679.9225,spx
307,2021-12-08,4701.21,4690.86,4705.06,4674.52,4692.9125,spx
308,2021-12-07,4686.75,4631.97,4694.04,4631.97,4661.1825,spx
309,2021-12-06,4591.67,4548.37,4612.6,4540.51,4573.2875,spx
310,2021-12-03,4538.43,4589.49,4608.03,4495.12,4557.7675,spx
311,2021-12-02,4577.1,4504.73,4595.46,4504.73,4545.504999999999,spx
312,2021-12-01,4513.04,4602.82,4652.94,4510.27,4569.7675,spx
